
ius-mx,12,0,0
vod-de,98,28,28
vod-it,162,59,36
cla-ar,70,0,0
o2o-de,46,0,0
bee-ru,45,0,0
vod-za,65,23,35
tlc-mx,98,0,0
sfr-fr,88,0,0
att-us,139,2,1
org-fr,70,0,0
tmo-de,48,0,0
eli-fi,37,1,2
str-au,7,0,0
org-gb,54,0,0
tmo-us,135,3,2
o2o-gb,73,0,0
fon-co,5,0,0
tmo-gb,37,0,0
mov-pe,28,9,32
spt-us,5,0,0
vod-gb,85,16,18
tse-id,18,5,27
dtn-th,12,0,0
mbs-be,13,1,7
vod-cz,8,0,0
org-ro,11,0,0
cla-cl,9,2,22
une-mx,3,0,0
lus-ca,13,0,0
at1-at,6,0,0
swi-ch,8,0,0
tmo-cz,13,0,0
tlh-hu,6,1,16
com-co,23,8,34
vod-nl,2,0,0
fon-es,7,0,0
xl0-id,3,0,0
bas-be,9,4,44
vip-hr,2,1,50
vod-gr,8,0,0
rog-ca,4,0,0
tmo-nl,2,0,0
dta-th,1,0,0
tno-no,3,0,0
ind-id,1,0,0
